symbol,n_quote,spread_bps,ask1_depth,rv20_bps,friction,depth,stratum,ok,tick,tick_share,median_price,rel_tick_bps,mean_spread_ticks,frac_one_tick,n_quotes,traded_value
000020,2213,32.84072249589491,229.0,8.210180623973162,H,deep,H-deep,True,10.0,0.9930539609644087,6090.0,16.420361247947454,2.025756891098057,0.25259828287392677,2213,282370000.0
000040,1225,53.763440860215056,346.0,13.440860215053752,H,deep,H-deep,True,1.0,0.8221253632212536,371.5,26.917900403768506,1.989387755102041,0.4122448979591837,1225,29639000.0
000050,2198,32.6619488296135,95.0,10.905125408942062,H,shallow,H-shallow,True,10.0,0.8685364727608494,9170.0,10.905125408942203,3.289353958143767,0.19062784349408554,2198,416710000.0
000070,2594,28.368794326241137,60.0,7.153075822603494,M,shallow,M-shallow,True,100.0,0.912229862475442,70100.0,14.265335235378032,1.697764070932922,0.4502698535080956,2594,748792000.0
000080,9183,5.997001499250374,309.0,0.0,L,deep,L-deep,True,10.0,0.8645551444192854,16705.0,5.986231667165519,1.3375803114450615,0.8217358161820756,9183,1732335000.0
000087,362,14.245014245014247,40.0,3.5625222657637012,L,shallow,L-shallow,True,10.0,0.9748953974895398,14035.0,7.125044531528322,2.234806629834254,0.3011049723756906,362,13094000.0
000100,23262,10.26167265264238,350.0,0.0,L,deep,L-deep,True,100.0,0.9936616497135763,97450.0,10.26167265264238,1.0578626085461267,0.9466941793482934,23262,18047397000.0
000105,717,57.37234652897304,5.0,11.435105774728616,H,shallow,H-shallow,True,100.0,0.770935960591133,87500.0,11.428571428571429,5.292887029288703,0.06694560669456066,717,118751000.0
000120,16023,9.062075215224286,19.0,8.948545861298118,L,shallow,L-shallow,True,100.0,0.9232973330394534,110850.0,9.021199819576003,1.5749859576858267,0.6315296760906197,16023,10006388000.0
000140,1152,21.90580503833516,19.0,10.98297638659984,M,shallow,M-shallow,True,10.0,0.809108954565505,9090.0,11.001100110011,1.8133680555555556,0.4973958333333333,1152,128190000.0
000150,28346,9.289363678588018,31.0,4.599816007360147,L,shallow,L-shallow,True,1000.0,0.9373195894658066,1084500.0,9.220839096357768,1.3933749603132606,0.7887959925212544,28347,85921817000.0
000155,6097,20.36659877800407,15.0,9.990009990009652,M,shallow,M-shallow,True,500.0,0.5166611542913842,497500.0,10.050251256281408,2.8999507954731834,0.2232245366573725,6097,7418593000.0
000157,2590,55.83472920156337,4.0,16.82557487380887,H,shallow,H-shallow,True,500.0,0.7135832521908472,448250.0,11.154489682097045,6.976071015052104,0.04978772674642995,2591,1475149000.0
000180,1499,19.75633849193283,309.0,6.574621959236637,M,deep,M-deep,True,1.0,0.6966576637407157,1523.0,6.5659881812212735,4.132088058705804,0.10140093395597065,1499,181975000.0
000210,9668,11.154489682097045,66.0,10.8108108108107,L,shallow,L-shallow,True,50.0,0.8166492829204693,45600.0,10.964912280701753,1.8998758791890773,0.5279271824575921,9668,3451211000.0
000215,635,40.899795501022496,30.0,20.51282051282022,H,shallow,H-shallow,True,50.0,0.8090836012861736,24575.0,20.34587995930824,2.541732283464567,0.2110236220472441,635,100495000.0
000220,1378,34.42340791738382,96.0,11.607661056297069,H,shallow,H-shallow,True,5.0,0.8026951672862453,4322.5,11.56737998843262,3.8438634713144517,0.3042846768336964,1377,178067000.0
000225,581,45.19774011299435,61.0,11.22964626614209,H,shallow,H-shallow,True,5.0,0.8892348754448398,4450.0,11.235955056179776,4.485370051635112,0.07056798623063683,581,76434000.0
000230,1654,38.095238095238095,24.0,18.71782873186678,H,shallow,H-shallow,True,10.0,0.6301684532924962,10590.0,9.442870632672333,5.654776299879081,0.14207980652962515,1654,239030000.0
000240,6022,20.100502512562816,579.0,0.0,M,deep,M-deep,True,50.0,0.9625652686542024,24925.0,20.060180541624874,1.223513782796413,0.8101959481899701,6022,2037241000.0
000250,39799,13.689253935660506,83.0,0.0,L,shallow,L-shallow,True,1000.0,0.9886431389463268,731500.0,13.67053998632946,1.0945979899497487,0.9117587939698493,39800,121869387000.0
000270,51548,6.1443932411674345,1283.0,0.0,L,deep,L-deep,True,100.0,0.9798646571811016,162750.0,6.1443932411674345,1.2160468680284777,0.9437428466119614,51549,172014463000.0
000320,1992,22.099447513812155,32.0,11.037527593819041,M,shallow,M-shallow,True,50.0,0.8909241766658157,22675.0,22.05071664829107,1.4964859437751004,0.5823293172690763,1992,245311000.0
000370,9117,14.760147601476014,286.0,7.342143906020615,L,deep,L-deep,True,10.0,0.9520113503588716,6800.0,14.705882352941176,1.443786333223648,0.6404519030382801,9117,1939279000.0
000390,15140,10.87547580206634,291.5,5.428881650380024,L,deep,L-deep,True,10.0,0.9400186972054355,9235.0,10.828370330265296,1.6022059309160557,0.6156132355854963,15141,6403597000.0
000400,8986,24.600246002460025,321.0,12.25490196078427,M,deep,M-deep,True,5.0,0.971486790331647,2040.0,24.509803921568626,1.497829716193656,0.6060100166944908,8985,1015551000.0
000430,2253,12.714558169103624,56.0,6.381620931716903,L,shallow,L-shallow,True,5.0,0.8330729747824146,3947.5,12.66624445851805,1.470039946737683,0.6875277407900577,2253,393256000.0
000440,42695,16.038492381716118,164.0,8.051529790660261,L,deep,L-deep,True,50.0,0.9508924847777129,31950.0,15.64945226917058,1.5573486356716244,0.6010071436936409,42695,49732211000.0
000480,865,20.36659877800407,200.0,5.094243504839557,M,deep,M-deep,True,5.0,0.8763266509433962,4907.5,10.188487009679063,2.345664739884393,0.223121387283237,865,54007000.0
